
Prefix,Class ID, Class description
apin.0,0x41,AIN-Pins: Analog pins source

Command name,CMD ID, Description, Flags
filter,0xAA2,Enable lowpass filters, R W
autocal,0xAA3,Autoranging, R W
values,0xAA0,Analog output values, R
rawval,0xAA1,All raw values, R
min,0xAA4,Min value limit (adr=chan), WA RA
max,0xAA5,Max value limit (adr=chan), WA RA
id,0x80000001,ID of class, R
name,0x80000002,name of class, R (STR)
help,0x80000003,Prints help for commands, R I (STR)
cmduid,0x80000005,Command handler index, R
instance,0x80000004,Command handler instance number, R
cmdinfo,0x80000007,Flags of a command id (adr). -1 if cmd id invalid, RA
mask,0x0,Enabled pins, R W
pins,0x2,Available pins, R W
