
Prefix,Class ID, Class description
main.0,0x1,CAN Bridge (GVRET): CAN bus debug bridge. This class is GVRET/SavvyCAN compatible!
Command name,CMD ID, Description, Flags
id,0x80000001,ID of class, R
name,0x80000002,name of class, R (STR)
help,0x80000003,Prints help for commands, R I (STR)
cmduid,0x80000005,Command handler index, R
instance,0x80000004,Command handler instance number, R
cmdinfo,0x80000007,Flags of a command id (adr). -1 if cmd id invalid, RA
can,0x0,Send a frame or get last received frame,
rtr,0x1,Send a RTR frame,
spd,0x2,Change or get CAN baud,
