
Prefix,Class ID, Class description
fxm.0,0xA03,Effects manager
Command name,CMD ID, Description, Flags
id,0x80000001,ID of class, R
name,0x80000002,name of class, R (STR)
help,0x80000003,Prints help for commands, R I (STR)
cmduid,0x80000005,Command handler index, R
instance,0x80000004,Command handler instance number, R
cmdinfo,0x80000007,Flags of a command id (adr). -1 if cmd id invalid, RA
ffbstate,0x0,FFB active, R W
type,0x3,Effect type, RA
reset,0x1,Reset all effects or effect adr, R RA
new,0x2,Create new effect of type val. Returns index or -1 on err, W I
mag,0x4,16b magnitude of non cond. effect adr, WA RA
state,0x5,Enable/Disable effect adr, WA RA
period,0x6,Period of effect adr, WA RA
duration,0x7,Duration of effect adr, WA RA
offset,0x8,Offset of cond. effect adr, WA RA
deadzone,0x9,Deadzone of cond. effect adr, WA RA
sat,0xA,Saturation of cond. effect adr, WA RA
coeff,0xB,Coefficient of cond. effect adr, WA RA
axisgain,0xC,Gain for this axis (instance) 16b, WA RA
