
Prefix,Class ID, Class description
fx.0,0xA02,Effects: Controls internal FFB effects
Command name,CMD ID, Description, Flags
id,0x80000001,ID of class, R
name,0x80000002,name of class, R (STR)
help,0x80000003,Prints help for commands, R I (STR)
cmduid,0x80000005,Command handler index, R
instance,0x80000004,Command handler instance number, R
cmdinfo,0x80000007,Flags of a command id (adr). -1 if cmd id invalid, RA
filterCfFreq,0x0,Constant force filter frequency, R W
filterCfQ,0x1,Constant force filter Q-factor, R W
spring,0x3,Spring gain, R W I
friction,0x4,Friction gain, R W I
damper,0x5,Damper gain, R W I
inertia,0x6,Inertia gain, R W I
effects,0x2,USed effects since reset (Info print as str). set 0 to reset, R W I
effectsDetails,0x10,List effects details. set 0 to reset, R W RA (STR)
effectsForces,0x11,List actual effects forces., R RA
damper_f,0x7,Damper biquad freq, R W
damper_q,0x8,Damper biquad q, R W
friction_f,0x9,Friction biquad freq, R W
friction_q,0xA,Friction biquad q, R W
inertia_f,0xB,Inertia biquad freq, R W
inertia_q,0xC,Inertia biquad q, R W
filterProfile_id,0xD,Conditional effects filter profile: 0 default; 1 custom, R W
frictionPctSpeedToRampup,0xE,% of max speed for gradual increase, R W
