
Prefix,Class ID, Class description
main.0,0x1,HID Gamepad (Ext FFB): Force feedback HID game controller
Command name,CMD ID, Description, Flags
id,0x80000001,ID of class, R
name,0x80000002,name of class, R (STR)
help,0x80000003,Prints help for commands, R I (STR)
cmduid,0x80000005,Command handler index, R
instance,0x80000004,Command handler instance number, R
cmdinfo,0x80000007,Flags of a command id (adr). -1 if cmd id invalid, RA
ffbactive,0x0,FFB status, R
btntypes,0x2,Enabled button sources, R W
addbtn,0x4,Enable button source, W
lsbtn,0x3,Get available button sources, R (STR)
aintypes,0x5,Enabled analog sources, R W
lsain,0x6,Get available analog sources, R (STR)
addain,0x7,Enable analog source, W
hidrate,0x8,Get estimated effect update speed, R
cfrate,0xB,Get estimated const force rate, R
hidsendspd,0x9,Change HID gamepad update rate, R W I
estop,0xA,Emergency stop, R W
