
Prefix,Class ID, Class description
odrv.0,0x85,ODrive (M0): ODrive motor driver with CAN
Command name,CMD ID, Description, Flags
id,0x80000001,ID of class, R
name,0x80000002,name of class, R (STR)
help,0x80000003,Prints help for commands, R I (STR)
cmduid,0x80000005,Command handler index, R
instance,0x80000004,Command handler instance number, R
cmdinfo,0x80000007,Flags of a command id (adr). -1 if cmd id invalid, RA
canid,0x0,CAN id of ODrive, R W
canspd,0x1,CAN baudrate, R W
errors,0x2,ODrive error flags, R
state,0x3,ODrive state, R
maxtorque,0x4,Max torque to send for scaling, R W
vbus,0x5,ODrive Vbus, R
anticogging,0x6,Set 1 to start anticogging calibration, W
connected,0x7,ODrive connection state, R
