
Prefix,Class ID, Class description
sm2.0,0x89,Simplemotion 1: RS485 Simplemotion interface
Command name,CMD ID, Description, Flags
id,0x80000001,ID of class, R
name,0x80000002,name of class, R (STR)
help,0x80000003,Prints help for commands, R I (STR)
cmduid,0x80000005,Command handler index, R
instance,0x80000004,Command handler instance number, R
cmdinfo,0x80000007,Flags of a command id (adr). -1 if cmd id invalid, RA
crcerr,0x0,CRC error count, R
uarterr,0x1,UART error count, R
voltage,0x2,Voltage in mV, R
torque,0x3,Torque in mA, R
state,0x4,Status flags, R
restart,0x5,Restart driver, R
reg,0x6,Read/Write raw register, WA RA (DEBUG)
devtype,0x7,Device type, R
