
Prefix,Class ID, Class description
sys.0,0x0,System Commands
Command name,CMD ID, Description, Flags
help,0x0,Print system help, (STR)
save,0x1,Write all settings to flash, R
reboot,0x2,Reset chip, R
dfu,0x3,reboot into DFU bootloader, R
lsmain,0x6,List available mainclasses, R
lsactive,0x8,List active classes (Fullname:clsname:inst:clsid:idx), R
vint,0xE,Internal voltage(mV), R
vext,0xF,External voltage(mV), R
main,0x7,Query or change mainclass, R W
swver,0x4,Firmware version, R
hwtype,0x5,Hardware type, R
flashraw,0xD,Write value to flash address, WA
flashdump,0xC,Read all flash variables (val:adr), R
errors,0xA,Read error states, R
errorsclr,0xB,Reset errors, R
heapfree,0x11,Memory info, R
format,0x9,set format=1 to erase all stored values, W
debug,0x13,Enable or disable debug commands, R W
devid,0x14,Get chip dev id and rev id, R
name,0x80000002,name of class, R (STR)
cmdinfo,0x80000007,Flags of a command id (adr). -1 if cmd id invalid, RA
