
Prefix,Class ID, Class description
main.0,0x1,TMC Debug Bridge: Compatible with TMCL-IDE. To use the FOC modes position, velocity and torque you first must manually select the encoder and wait for alignment.
Command name,CMD ID, Description, Flags
id,0x80000001,ID of class, R
name,0x80000002,name of class, R (STR)
help,0x80000003,Prints help for commands, R I (STR)
cmduid,0x80000005,Command handler index, R
instance,0x80000004,Command handler instance number, R
cmdinfo,0x80000007,Flags of a command id (adr). -1 if cmd id invalid, RA
reg,0x5,Read or write a TMC register at adr, WA RA
torque,0x0,Change torque and enter torque mode, R W
pos,0x1,Change pos and enter pos mode, R W
openloopspeed,0x2,Move openloop. adr=strength;val=speed, W WA
velocity,0x3,Change velocity and enter velocity mode, R W
mode,0x4,Change motion mode, R W
