
Prefix,Class ID, Class description
vesc.0,0x87,VESC 1: VESC CAN interface
Command name,CMD ID, Description, Flags
id,0x80000001,ID of class, R
name,0x80000002,name of class, R (STR)
help,0x80000003,Prints help for commands, R I (STR)
cmduid,0x80000005,Command handler index, R
instance,0x80000004,Command handler instance number, R
cmdinfo,0x80000007,Flags of a command id (adr). -1 if cmd id invalid, RA
offbcanid,0x0,CAN id of OpenFFBoard Axis, R W
vesccanid,0x1,CAN id of VESC, R W
canspd,0x2,CAN baud (3=250k 4=500k 5=1M), R W
errorflags,0x3,VESC error state, R
vescstate,0x4,VESC state, R
voltage,0x5,VESC supply voltage (mV), R
encrate,0x6,Encoder update rate, R
pos,0x7,VESC position, R
torque,0x8,Current VESC torque, R
forceposread,0x9,Force a position update, R
useencoder,0xA,Enable VESC encoder, R W
offset,0xB,Get or set encoder offset, R W
